driver,scenario,npv,delta_vs_base
Customer Demand,Demand -10%,-3344178.2849843088,-3897596.713625584
Customer Demand,Demand +10%,4402351.597547609,3848933.168906335
Discount Rate (WACC),WACC +2pp,107423.98938576574,-445994.43925550906
Discount Rate (WACC),WACC -2pp,1038065.4713109597,484647.04266968486
Freight Rate Inflation,Freight Rates +15%,1778808.1387337074,1225389.7100924326
Freight Rate Inflation,Freight Rates -15%,-671971.2814511617,-1225389.7100924365
Capex,Capex +25%,-1350543.1476857986,-1903961.5763270734
Capex,Capex -25%,2457380.004968348,1903961.5763270732
